device_id,timestamp,temperature_c,battery_level_v,signal_strength_dbm,packet_loss_pct,encryption_latency_ms,failure_risk
RADIO_001,2026-08-03 08:29:05,38.52,11.87,-59.57,0.59,19.05,0
RADIO_001,2026-08-03 09:29:05,34.58,11.87,-74.05,0.3,24.59,0
RADIO_001,2026-08-03 10:29:05,33.75,11.87,-61.58,1.98,19.97,0
RADIO_001,2026-08-03 11:29:05,36.28,11.87,-56.46,1.4,18.16,0
RADIO_001,2026-08-03 12:29:05,35.34,11.86,-69.14,1.26,19.05,0
RADIO_001,2026-08-03 13:29:05,34.2,11.86,-66.34,0.91,16.27,0
RADIO_001,2026-08-03 14:29:05,35.67,11.86,-57.46,1.83,16.74,0
RADIO_001,2026-08-03 15:29:05,34.37,11.86,-65.05,1.25,21.32,0
RADIO_001,2026-08-03 16:29:05,33.29,11.86,-68.06,1.47,20.35,0
RADIO_001,2026-08-03 17:29:05,35.12,11.85,-62.38,0.85,19.83,0
RADIO_001,2026-08-03 18:29:05,34.69,11.85,-65.26,1.5,18.21,0
RADIO_001,2026-08-03 19:29:05,32.42,11.85,-64.08,0.19,25.11,0
RADIO_001,2026-08-03 20:29:05,37.24,11.85,-61.22,0.89,18.54,0
RADIO_001,2026-08-03 21:29:05,33.26,11.85,-65.26,0.81,19.96,0
RADIO_001,2026-08-03 22:29:05,36.22,11.84,-73.5,1.24,19.39,0
RADIO_001,2026-08-03 23:29:05,31.28,11.84,-63.97,0.92,18.58,0
RADIO_001,2026-08-04 00:29:05,37.34,11.84,-62.96,1.12,16.99,0
RADIO_001,2026-08-04 01:29:05,35.04,11.84,-66.92,1.47,17.33,0
RADIO_001,2026-08-04 02:29:05,34.39,11.84,-65.59,0.41,21.22,0
RADIO_001,2026-08-04 03:29:05,37.14,11.83,-71.59,0.45,21.97,0
RADIO_001,2026-08-04 04:29:05,33.88,11.83,-60.43,1.1,21.38,0
RADIO_001,2026-08-04 05:29:05,34.35,11.83,-68.73,0.86,17.7,0
RADIO_001,2026-08-04 06:29:05,34.73,11.83,-72.8,0.2,21.24,0
RADIO_001,2026-08-04 07:29:05,37.49,11.83,-63.85,0.78,19.93,0
RADIO_001,2026-08-04 08:29:05,36.02,11.82,-70.38,1.4,20.54,0
RADIO_001,2026-08-04 09:29:05,34.03,11.82,-72.92,1.14,19.38,0
RADIO_001,2026-08-04 10:29:05,35.63,11.82,-58.42,1.34,19.93,0
RADIO_001,2026-08-04 11:29:05,35.37,11.82,-63.28,0.37,19.28,0
RADIO_001,2026-08-04 12:29:05,33.06,11.82,-67.64,1.35,18.27,0
RADIO_001,2026-08-04 13:29:05,32.99,11.81,-63.11,0.24,16.19,0
RADIO_001,2026-08-04 14:29:05,34.12,11.81,-67.15,2.31,18.14,0
RADIO_001,2026-08-04 15:29:05,33.19,11.81,-62.99,0.99,22.35,0
RADIO_001,2026-08-04 16:29:05,37.6,11.81,-67.65,1.43,20.15,0
RADIO_001,2026-08-04 17:29:05,35.21,11.81,-59.84,1.19,20.25,0
RADIO_001,2026-08-04 18:29:05,35.45,11.8,-67.63,1.59,19.62,0
RADIO_001,2026-08-04 19:29:05,33.59,11.8,-72.08,0.58,21.31,0
RADIO_001,2026-08-04 20:29:05,35.2,11.8,-58.54,0.99,19.34,0
RADIO_001,2026-08-04 21:29:05,30.39,11.8,-67.47,0.87,20.33,0
RADIO_001,2026-08-04 22:29:05,32.81,11.8,-69.52,0.32,20.04,0
RADIO_001,2026-08-04 23:29:05,31.89,11.79,-63.78,1.02,13.29,0
RADIO_001,2026-08-05 00:29:05,36.67,11.79,-67.24,1.03,20.52,0
RADIO_001,2026-08-05 01:29:05,35.99,11.79,-67.0,0.63,20.66,0
RADIO_001,2026-08-05 02:29:05,35.2,11.79,-62.38,0.1,20.8,0
RADIO_001,2026-08-05 03:29:05,36.0,11.79,-67.78,1.08,15.74,0
RADIO_001,2026-08-05 04:29:05,37.3,11.78,-66.13,1.04,20.66,0
RADIO_001,2026-08-05 05:29:05,34.29,11.78,-62.44,1.18,17.36,0
RADIO_001,2026-08-05 06:29:05,37.37,11.78,-69.33,1.49,16.57,0
RADIO_001,2026-08-05 07:29:05,30.54,11.78,-67.66,1.23,17.94,0
RADIO_001,2026-08-05 08:29:05,38.28,11.78,-65.05,0.49,16.8,0
RADIO_001,2026-08-05 09:29:05,37.17,11.77,-69.09,0.48,18.55,0
RADIO_001,2026-08-05 10:29:05,34.65,11.77,-62.55,1.06,16.41,0
RADIO_001,2026-08-05 11:29:05,34.68,11.77,-67.57,0.74,18.17,0
RADIO_001,2026-08-05 12:29:05,33.64,11.77,-57.15,0.64,21.91,0
RADIO_001,2026-08-05 13:29:05,32.42,11.77,-68.28,2.0,18.36,0
RADIO_001,2026-08-05 14:29:05,32.28,11.76,-67.06,0.97,22.42,0
RADIO_001,2026-08-05 15:29:05,35.26,11.76,-66.53,0.68,19.39,0
RADIO_001,2026-08-05 16:29:05,39.87,11.76,-64.66,1.35,18.65,0
RADIO_001,2026-08-05 17:29:05,33.24,11.76,-66.48,1.23,21.49,0
RADIO_001,2026-08-05 18:29:05,35.64,11.76,-61.72,0.23,20.17,0
RADIO_001,2026-08-05 19:29:05,39.04,11.75,-53.77,1.01,21.34,0
RADIO_001,2026-08-05 20:29:05,33.32,11.75,-60.12,1.7,25.62,0
RADIO_001,2026-08-05 21:29:05,37.45,11.75,-55.95,1.03,18.36,0
RADIO_001,2026-08-05 22:29:05,35.71,11.75,-62.4,1.68,18.85,0
RADIO_001,2026-08-05 23:29:05,36.06,11.75,-66.37,0.99,16.2,0
RADIO_001,2026-08-06 00:29:05,33.73,11.74,-51.32,1.53,20.6,0
RADIO_001,2026-08-06 01:29:05,36.19,11.74,-67.77,0.29,17.67,0
RADIO_001,2026-08-06 02:29:05,35.47,11.74,-68.22,1.26,20.47,0
RADIO_001,2026-08-06 03:29:05,32.37,11.74,-68.37,1.69,17.23,0
RADIO_001,2026-08-06 04:29:05,35.09,11.74,-59.63,0.92,19.73,0
RADIO_001,2026-08-06 05:29:05,35.19,11.73,-72.47,0.98,22.0,0
RADIO_001,2026-08-06 06:29:05,36.01,11.73,-63.77,2.11,16.21,0
RADIO_001,2026-08-06 07:29:05,37.83,11.73,-71.4,1.42,21.42,0
RADIO_001,2026-08-06 08:29:05,35.03,11.73,-72.35,1.48,22.31,0
RADIO_001,2026-08-06 09:29:05,32.82,11.73,-61.7,1.33,19.41,0
RADIO_001,2026-08-06 10:29:05,36.7,11.72,-62.61,0.68,19.38,0
RADIO_001,2026-08-06 11:29:05,36.32,11.72,-69.99,0.84,21.07,0
RADIO_001,2026-08-06 12:29:05,36.68,11.72,-68.21,1.21,22.18,0
RADIO_001,2026-08-06 13:29:05,37.44,11.72,-66.42,1.57,22.01,0
RADIO_001,2026-08-06 14:29:05,38.12,11.72,-63.16,1.22,18.57,0
RADIO_001,2026-08-06 15:29:05,38.2,11.71,-66.74,0.37,20.32,0
RADIO_001,2026-08-06 16:29:05,35.85,11.71,-64.16,1.56,21.24,0
RADIO_001,2026-08-06 17:29:05,35.93,11.71,-68.02,0.93,19.4,0
RADIO_001,2026-08-06 18:29:05,33.74,11.71,-54.12,0.12,16.6,0
RADIO_001,2026-08-06 19:29:05,35.94,11.71,-56.15,1.8,22.23,0
RADIO_001,2026-08-06 20:29:05,41.0,11.7,-69.15,1.08,21.46,0
RADIO_001,2026-08-06 21:29:05,34.81,11.7,-62.08,1.33,18.61,0
RADIO_001,2026-08-06 22:29:05,37.88,11.7,-60.31,1.42,17.91,0
RADIO_001,2026-08-06 23:29:05,36.87,11.7,-69.14,0.62,20.27,0
RADIO_001,2026-08-07 00:29:05,38.2,11.7,-66.25,1.33,17.35,0
RADIO_001,2026-08-07 01:29:05,35.48,11.69,-69.19,0.85,20.29,0
RADIO_001,2026-08-07 02:29:05,34.0,11.69,-71.16,1.03,22.78,0
RADIO_001,2026-08-07 03:29:05,34.56,11.69,-65.22,0.84,19.45,0
RADIO_001,2026-08-07 04:29:05,35.24,11.69,-64.18,1.04,19.62,0
RADIO_001,2026-08-07 05:29:05,34.23,11.69,-60.71,0.72,21.12,0
RADIO_001,2026-08-07 06:29:05,32.29,11.68,-70.75,1.14,20.47,0
RADIO_001,2026-08-07 07:29:05,31.75,11.68,-52.07,1.18,21.57,0
RADIO_001,2026-08-07 08:29:05,31.8,11.68,-61.41,0.97,21.64,0
RADIO_001,2026-08-07 09:29:05,37.44,11.68,-64.25,1.5,17.88,0
RADIO_001,2026-08-07 10:29:05,35.41,11.68,-59.72,0.97,21.63,0
RADIO_001,2026-08-07 11:29:05,33.81,11.67,-64.95,1.12,21.76,0
RADIO_001,2026-08-07 12:29:05,39.64,11.67,-64.31,0.63,20.77,0
RADIO_001,2026-08-07 13:29:05,35.27,11.67,-69.73,1.54,20.23,0
RADIO_001,2026-08-07 14:29:05,36.17,11.67,-60.31,1.11,18.98,0
RADIO_001,2026-08-07 15:29:05,35.7,11.67,-64.39,1.63,21.23,0
RADIO_001,2026-08-07 16:29:05,35.52,11.66,-63.56,0.5,22.31,0
RADIO_001,2026-08-07 17:29:05,33.98,11.66,-63.1,1.38,22.29,0
RADIO_001,2026-08-07 18:29:05,32.81,11.66,-67.47,0.99,20.29,0
RADIO_001,2026-08-07 19:29:05,36.22,11.66,-67.75,2.04,20.09,0
RADIO_001,2026-08-07 20:29:05,37.0,11.66,-71.66,1.87,20.25,0
RADIO_001,2026-08-07 21:29:05,35.98,11.65,-66.25,1.03,19.94,0
RADIO_001,2026-08-07 22:29:05,32.65,11.65,-61.01,1.05,22.36,0
RADIO_001,2026-08-07 23:29:05,37.8,11.65,-70.72,1.68,20.5,0
RADIO_001,2026-08-08 00:29:05,35.57,11.65,-59.77,0.74,18.2,0
RADIO_001,2026-08-08 01:29:05,35.84,11.65,-66.35,0.4,18.59,0
RADIO_001,2026-08-08 02:29:05,32.78,11.64,-64.93,1.1,22.15,0
RADIO_001,2026-08-08 03:29:05,35.6,11.64,-63.56,1.44,18.05,0
RADIO_001,2026-08-08 04:29:05,31.44,11.64,-67.89,1.01,16.2,0
RADIO_001,2026-08-08 05:29:05,35.14,11.64,-72.83,1.11,20.66,0
RADIO_001,2026-08-08 06:29:05,33.96,11.64,-68.47,0.7,19.33,0
RADIO_001,2026-08-08 07:29:05,35.58,11.63,-70.64,1.16,19.8,0
RADIO_001,2026-08-08 08:29:05,34.71,11.63,-69.98,0.96,20.69,0
RADIO_001,2026-08-08 09:29:05,31.76,11.63,-66.47,1.04,21.57,0
RADIO_001,2026-08-08 10:29:05,37.22,11.63,-62.39,1.43,21.29,0
RADIO_001,2026-08-08 11:29:05,35.71,11.63,-59.53,0.53,18.5,0
RADIO_001,2026-08-08 12:29:05,36.07,11.62,-59.79,0.1,20.55,0
RADIO_001,2026-08-08 13:29:05,33.81,11.62,-61.19,0.64,17.09,0
RADIO_001,2026-08-08 14:29:05,35.01,11.62,-67.04,1.51,21.01,0
RADIO_001,2026-08-08 15:29:05,37.49,11.62,-66.61,1.06,19.47,0
RADIO_001,2026-08-08 16:29:05,36.3,11.62,-71.01,0.4,18.37,0
RADIO_001,2026-08-08 17:29:05,35.39,11.61,-59.97,1.33,19.43,0
RADIO_001,2026-08-08 18:29:05,34.7,11.61,-70.65,0.82,23.17,0
RADIO_001,2026-08-08 19:29:05,33.19,11.61,-62.72,0.4,17.82,0
RADIO_001,2026-08-08 20:29:05,35.81,11.61,-67.55,0.64,18.24,0
RADIO_001,2026-08-08 21:29:05,37.77,11.61,-61.0,0.52,20.88,0
RADIO_001,2026-08-08 22:29:05,33.11,11.6,-61.93,1.46,20.59,0
RADIO_001,2026-08-08 23:29:05,36.09,11.6,-61.03,0.82,20.21,0
RADIO_001,2026-08-09 00:29:05,38.13,11.6,-65.72,1.56,17.37,0
RADIO_001,2026-08-09 01:29:05,34.34,11.6,-70.97,0.92,17.91,0
RADIO_001,2026-08-09 02:29:05,30.6,11.6,-68.36,0.28,19.45,0
RADIO_001,2026-08-09 03:29:05,33.45,11.59,-65.52,0.07,20.04,0
RADIO_001,2026-08-09 04:29:05,34.02,11.59,-63.37,1.49,22.96,0
RADIO_001,2026-08-09 05:29:05,36.8,11.59,-65.07,0.14,21.04,0
RADIO_001,2026-08-09 06:29:05,33.61,11.59,-58.68,1.39,22.45,0
RADIO_001,2026-08-09 07:29:05,34.88,11.59,-65.34,1.16,19.97,0
RADIO_001,2026-08-09 08:29:05,37.37,11.58,-74.22,1.11,19.06,0
RADIO_001,2026-08-09 09:29:05,33.62,11.58,-72.52,0.89,18.57,0
RADIO_001,2026-08-09 10:29:05,35.1,11.58,-67.77,1.21,21.12,0
RADIO_001,2026-08-09 11:29:05,37.97,11.58,-63.86,0.93,19.6,0
RADIO_001,2026-08-09 12:29:05,37.2,11.58,-52.58,1.13,20.32,0
RADIO_001,2026-08-09 13:29:05,36.09,11.57,-70.12,1.79,18.03,0
RADIO_001,2026-08-09 14:29:05,35.4,11.57,-68.46,0.33,20.07,0
RADIO_001,2026-08-09 15:29:05,32.09,11.57,-57.07,1.18,18.41,0
RADIO_001,2026-08-09 16:29:05,35.87,11.57,-62.53,2.18,19.02,0
RADIO_001,2026-08-09 17:29:05,33.6,11.57,-62.17,0.59,19.54,0
RADIO_001,2026-08-09 18:29:05,32.6,11.56,-61.19,0.67,18.4,0
RADIO_001,2026-08-09 19:29:05,35.24,11.56,-66.98,1.01,18.15,0
RADIO_001,2026-08-09 20:29:05,31.5,11.56,-69.23,0.79,19.67,0
RADIO_001,2026-08-09 21:29:05,35.58,11.56,-62.23,0.79,19.37,0
RADIO_001,2026-08-09 22:29:05,30.94,11.56,-65.06,2.17,19.14,0
RADIO_001,2026-08-09 23:29:05,34.72,11.55,-61.33,1.02,19.5,0
RADIO_001,2026-08-10 00:29:05,34.65,11.55,-75.14,1.31,17.24,0
RADIO_001,2026-08-10 01:29:05,35.48,11.55,-68.53,1.23,18.3,0
RADIO_001,2026-08-10 02:29:05,35.32,11.55,-60.2,1.84,22.74,0
RADIO_001,2026-08-10 03:29:05,34.95,11.55,-69.67,0.63,20.6,0
RADIO_001,2026-08-10 04:29:05,35.64,11.54,-62.29,0.6,17.05,0
RADIO_001,2026-08-10 05:29:05,31.71,11.54,-70.49,0.65,22.38,0
RADIO_001,2026-08-10 06:29:05,36.3,11.54,-63.3,0.32,20.19,0
RADIO_001,2026-08-10 07:29:05,36.1,11.54,-64.81,0.69,22.37,0
RADIO_001,2026-08-10 08:29:05,33.87,11.54,-66.06,1.35,17.88,0
RADIO_001,2026-08-10 09:29:05,31.55,11.53,-62.86,1.89,19.46,0
RADIO_001,2026-08-10 10:29:05,34.94,11.53,-70.64,1.0,21.09,0
RADIO_001,2026-08-10 11:29:05,34.96,11.53,-66.57,0.69,22.02,0
RADIO_001,2026-08-10 12:29:05,32.42,11.53,-67.79,2.28,22.58,0
RADIO_001,2026-08-10 13:29:05,34.08,11.53,-67.07,1.04,20.8,0
RADIO_001,2026-08-10 14:29:05,36.24,11.52,-65.01,0.27,20.54,0
RADIO_001,2026-08-10 15:29:05,35.18,11.52,-67.06,1.27,21.52,0
RADIO_001,2026-08-10 16:29:05,36.37,11.52,-72.38,2.19,20.0,0
RADIO_001,2026-08-10 17:29:05,37.24,11.52,-56.0,1.32,21.06,0
RADIO_001,2026-08-10 18:29:05,32.87,11.52,-59.7,0.96,20.01,0
RADIO_001,2026-08-10 19:29:05,37.78,11.51,-59.06,1.14,20.06,0
RADIO_001,2026-08-10 20:29:05,35.11,11.51,-58.17,1.6,20.84,0
RADIO_001,2026-08-10 21:29:05,32.45,11.51,-67.42,0.23,21.48,0
RADIO_001,2026-08-10 22:29:05,35.77,11.51,-63.51,0.61,20.6,0
RADIO_001,2026-08-10 23:29:05,36.98,11.51,-63.18,1.7,18.86,0
RADIO_001,2026-08-11 00:29:05,32.53,11.5,-67.49,1.21,19.9,0
RADIO_001,2026-08-11 01:29:05,36.75,11.5,-68.49,0.56,19.05,0
RADIO_001,2026-08-11 02:29:05,38.9,11.5,-60.65,0.04,20.79,0
RADIO_001,2026-08-11 03:29:05,36.47,11.5,-58.97,1.58,22.78,0
RADIO_001,2026-08-11 04:29:05,35.03,11.5,-54.68,1.01,20.45,0
RADIO_001,2026-08-11 05:29:05,37.44,11.49,-66.41,0.87,23.56,0
RADIO_001,2026-08-11 06:29:05,38.37,11.49,-75.11,0.58,18.3,0
RADIO_001,2026-08-11 07:29:05,35.65,11.49,-67.11,0.67,17.74,0
RADIO_001,2026-08-11 08:29:05,37.95,11.49,-64.18,1.13,18.37,0
RADIO_001,2026-08-11 09:29:05,32.81,11.49,-73.25,1.33,19.69,0
RADIO_001,2026-08-11 10:29:05,35.77,11.48,-73.91,2.27,19.91,0
RADIO_001,2026-08-11 11:29:05,34.99,11.48,-66.95,1.64,20.26,0
RADIO_001,2026-08-11 12:29:05,30.12,11.48,-70.06,0.7,18.67,0
RADIO_001,2026-08-11 13:29:05,38.41,11.48,-60.81,1.06,18.23,0
RADIO_001,2026-08-11 14:29:05,35.26,11.48,-65.56,0.92,20.36,0
RADIO_001,2026-08-11 15:29:05,32.87,11.47,-60.92,1.27,19.16,0
RADIO_001,2026-08-11 16:29:05,38.57,11.47,-60.1,1.15,23.75,0
RADIO_001,2026-08-11 17:29:05,31.6,11.47,-67.4,1.45,22.91,0
RADIO_001,2026-08-11 18:29:05,32.6,11.47,-64.96,0.54,19.65,0
RADIO_001,2026-08-11 19:29:05,33.02,11.47,-64.93,1.18,19.31,0
RADIO_001,2026-08-11 20:29:05,35.27,11.46,-59.79,0.42,22.96,0
RADIO_001,2026-08-11 21:29:05,34.24,11.46,-61.67,1.26,17.09,0
RADIO_001,2026-08-11 22:29:05,33.3,11.46,-73.09,0.75,20.77,0
RADIO_001,2026-08-11 23:29:05,35.69,11.46,-68.73,1.59,17.28,0
RADIO_001,2026-08-12 00:29:05,34.92,11.46,-66.04,0.58,18.63,0
RADIO_001,2026-08-12 01:29:05,33.12,11.45,-72.2,0.73,20.39,0
RADIO_001,2026-08-12 02:29:05,37.29,11.45,-56.72,1.74,14.89,0
RADIO_001,2026-08-12 03:29:05,35.95,11.45,-73.34,1.81,20.74,0
RADIO_001,2026-08-12 04:29:05,35.0,11.45,-68.6,0.91,19.27,0
RADIO_001,2026-08-12 05:29:05,36.3,11.45,-52.4,1.77,20.63,0
RADIO_001,2026-08-12 06:29:05,35.27,11.44,-68.01,0.62,16.74,0
RADIO_001,2026-08-12 07:29:05,36.03,11.44,-59.03,1.62,17.42,0
RADIO_001,2026-08-12 08:29:05,31.95,11.44,-68.78,0.2,21.71,0
RADIO_001,2026-08-12 09:29:05,34.96,11.44,-67.62,1.27,20.24,0
RADIO_001,2026-08-12 10:29:05,33.58,11.44,-58.01,1.15,17.89,0
RADIO_001,2026-08-12 11:29:05,35.82,11.43,-68.99,0.64,19.74,0
RADIO_001,2026-08-12 12:29:05,34.56,11.43,-69.94,1.14,21.73,0
RADIO_001,2026-08-12 13:29:05,33.94,11.43,-70.67,0.66,20.16,0
RADIO_001,2026-08-12 14:29:05,31.29,11.43,-70.95,1.04,19.46,0
RADIO_001,2026-08-12 15:29:05,36.33,11.43,-67.1,1.07,20.55,0
RADIO_001,2026-08-12 16:29:05,35.34,11.42,-61.8,0.24,20.91,0
RADIO_001,2026-08-12 17:29:05,33.74,11.42,-72.3,1.73,20.95,0
RADIO_001,2026-08-12 18:29:05,33.34,11.42,-71.96,1.38,20.77,0
RADIO_001,2026-08-12 19:29:05,32.9,11.42,-64.93,1.15,20.44,0
RADIO_001,2026-08-12 20:29:05,34.01,11.42,-63.07,1.58,18.58,0
RADIO_001,2026-08-12 21:29:05,37.2,11.41,-71.47,1.83,16.64,0
RADIO_001,2026-08-12 22:29:05,34.69,11.41,-65.54,0.13,16.32,0
RADIO_001,2026-08-12 23:29:05,35.51,11.41,-70.35,0.45,19.95,0
RADIO_001,2026-08-13 00:29:05,34.43,11.41,-62.71,0.79,19.98,0
RADIO_001,2026-08-13 01:29:05,32.85,11.41,-64.82,1.07,18.71,0
RADIO_001,2026-08-13 02:29:05,36.69,11.4,-60.09,0.04,20.56,0
RADIO_001,2026-08-13 03:29:05,33.72,11.4,-48.12,0.84,20.43,0
RADIO_001,2026-08-13 04:29:05,34.59,11.4,-60.92,1.54,18.71,0
RADIO_001,2026-08-13 05:29:05,32.67,11.4,-61.72,1.57,21.21,0
RADIO_001,2026-08-13 06:29:05,37.3,11.4,-73.7,1.37,21.59,0
RADIO_001,2026-08-13 07:29:05,38.28,11.39,-70.93,1.39,19.05,0
RADIO_001,2026-08-13 08:29:05,33.72,11.39,-61.28,1.74,16.92,0
RADIO_001,2026-08-13 09:29:05,33.21,11.39,-62.35,1.45,20.67,0
RADIO_001,2026-08-13 10:29:05,35.65,11.39,-68.9,2.0,20.44,0
RADIO_001,2026-08-13 11:29:05,35.95,11.39,-71.66,0.49,20.88,0
RADIO_001,2026-08-13 12:29:05,35.16,11.38,-67.99,1.46,17.85,0
RADIO_001,2026-08-13 13:29:05,32.49,11.38,-68.62,1.05,22.57,0
RADIO_001,2026-08-13 14:29:05,33.9,11.38,-64.65,1.48,21.73,0
RADIO_001,2026-08-13 15:29:05,38.08,11.38,-78.59,0.67,19.37,0
RADIO_001,2026-08-13 16:29:05,34.19,11.38,-61.59,1.39,18.96,0
RADIO_001,2026-08-13 17:29:05,37.18,11.37,-58.07,0.83,16.35,0
RADIO_001,2026-08-13 18:29:05,35.41,11.37,-72.51,0.57,21.32,0
RADIO_001,2026-08-13 19:29:05,33.5,11.37,-60.32,0.19,20.93,0
RADIO_001,2026-08-13 20:29:05,34.45,11.37,-70.8,1.38,17.27,0
RADIO_001,2026-08-13 21:29:05,35.02,11.37,-75.24,0.35,19.13,0
RADIO_001,2026-08-13 22:29:05,33.05,11.36,-75.05,1.61,20.83,0
RADIO_001,2026-08-13 23:29:05,33.1,11.36,-57.63,1.7,23.15,0
RADIO_001,2026-08-14 00:29:05,32.57,11.36,-80.14,0.83,24.16,0
RADIO_001,2026-08-14 01:29:05,32.33,11.36,-73.45,1.74,21.89,0
